9789385152146,Amish Tripathi,Fantasy,65 users,47 users,"Ram Rajya. The Perfect Land. But perfection has a price. He paid that price.3400 BCE. INDIAAyodhya is weakened by divisions. A terrible war has taken its toll. The damage runs deep. The demon King of Lanka, Raavan, does not impose his rule on the defeated. He, instead, imposes his trade. Money is sucked out of the empire. The Sapt Sindhu people descend into poverty, despondency and corruption. They cry for a leader to lead them out of the morass. Little do they appreciate that the leader is among them. One whom they know. A tortured and ostracised prince. A prince they tried to break. A prince called Ram.He loves his country, even when his countrymen torment him. He stands alone for the law. His band of brothers, his Sita, and he, against the darkness of chaos.Will Ram rise above the taint that others heap on him? Will his love for Sita sustain him through his struggle? Will he defeat the demon Lord Raavan who destroyed his childhood? Will he fulfil the destiny of the Vishnu?Begin an epic journey with Amish’s latest: the Ram Chandra Series."
9789382618348,Amish Tripathi,Fantasy,144 users,134 users,"ONLY A GOD CAN STOP IT. Shiva is gathering his forces. He reaches the Naga capital, Panchavati, and Evil is finally revealed. The Neelkanth prepares for a holy war against his true enemy, a man whose name instils dread in the fiercest of warriors. India convulses under the onslaught of a series of brutal battles. It's a war for the very soul of the nation. Many will die. But Shiva must not fail, no matter what the cost. In his desperation, he reaches out to the ones who have never offered any help to him: the Vayuputras. Will he succeed? And what will be the real cost of battling Evil? To India? And to Shiva's soul? Discover the answer to these mysteries in this concluding part of the bestselling Shiva Trilogy."
9789380658742,Amish Tripathi,Fiction,Fantasy,Fantasy,"1900 BC. In what modern Indians mistakenly call the Indus Valley Civilisation. The inhabitants of that period called it the land of Meluha a near perfect empire created many centuries earlier by Lord Ram, one of the greatest monarchs that ever lived. This once proud empire and its Suryavanshi rulers face severe perils as its primary river, the revered Saraswati, is slowly drying to extinction. They also face devastating terrorist attacks from the east, the land of the Chandravanshis. To make matters worse, the Chandravanshis appear to have allied with the Nagas, an ostracised and sinister race of deformed humans with astonishing martial skills. The only hope for the Suryavanshis is an ancient legend: When evil reaches epic proportions, when all seems lost, when it appears that your enemies have triumphed, a hero will emerge. Is the rough-hewn Tibetan immigrant Shiva, really that hero? And does he want to be that hero at all? Drawn suddenly to his destiny, by duty as well as by love, will Shiva lead the Suryavanshi vengeance and destroy evil?"
9780007428540,George R.R. Martin,Fantasy,Fiction,Fantasy,"Kings and queens, Knights and renegades, liars, lords and honest men. All will play the Game of Thrones.Summers span decades. Winter can last a lifetime. And the struggle for the Iron Throne has begun. It will stretch from the south, where heat breeds plot, lusts and intrigues; to the vast and savage eastern lands; all the way to the frozen north, where an 800-foot wall of ice protects the kingdom from the dark forces that lie beyond.The Game of Thrones. You win, or you die.Book one of A Song of Ice and Fire begins the greatest fantasy epic of the modern age."
9781408855706,J.K. Rowling,Fantasy,Young Adult,Fiction,"As the Dark Lord’s sinister forces amass, a spirit of gloom and fear is sweeping the land. Harry Potter waits nervously in his bedroom at the Dursleys' for Professor Dumbledore to arrive. One of the last times he saw the Headmaster was in a fierce duel with Voldemort at the Ministry of Magic. Why is the Professor coming to visit him now? What is it that cannot wait until Harry returns to Hogwarts? In his sixth year, Harry will discover the secret behind the Half-Blood Prince, as Professor Dumbledore prepares him to face his destiny … These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It’s time to PASS THE MAGIC ON …"
9781408855690,J.K. Rowling,Young Adult,Childrens,Adventure,"Harry Potter is furious that he is stuck at the Dursleys’ house for the summer, when he suspects that Voldemort is gathering an army, and the wizarding authorities seem unwilling to do anything. Harry’s so-called friends are trying to keep him in the dark. But he knows that Voldemort’s forces can find him wherever he is; he could be attacked at any moment. Harry is finally rescued from Privet Drive by members of the Order of the Phoenix – a secret society first formed years ago to fight Voldemort – and discovers that maybe he is not alone in this battle after all.These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It’s time to PASS THE MAGIC ON …"
9789383260133,,,,,
9781408855669,J.K. Rowling,Young Adult,Fiction,Fantasy,"Harry Potter can’t wait for his holidays with the dire Dursleys to end. But a small, self-punishing house-elf warns Harry of mortal danger awaiting him at Hogwarts. Returning to the castle nevertheless, Harry hears a rumour about a Chamber of Secrets, holding unknown horrors for wizards of Muggle parentage. Now someone is casting spells that turn people to stone, and a terrible warning is found painted on the wall. The chief suspect – always in the wrong place – is Harry. But something much more terrifying has yet to be unleashed.These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It’s time to PASS THE MAGIC ON …"
9781408855652,J.K. Rowling,Fantasy,Young Adult,Fiction,"When a letter arrives for unhappy but ordinary Harry Potter, a decade-old secret is revealed to him that apparently he’s the last to know. His parents were wizards, killed by a Dark Lord’s curse when Harry was just a baby, and which he somehow survived. Leaving his unsympathetic aunt and uncle for Hogwarts, a wizarding school brimming with ghosts and enchantments, Harry stumbles upon a sinister mystery when he finds a three-headed dog guarding a room on the third floor. Then he hears of a missing stone with astonishing powers which could be valuable, dangerous – or both. An incredible adventure is about to begin!These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It’s time to PASS THE MAGIC ON …"
9780099494096,Haruki Murakami,Fiction,Magical Realism,Fantasy,"Kafka on the Shore follows the fortunes of two remarkable characters. Kafka Tamura runs away from home at fifteen, under the shadow of his father's dark prophecy. The ageing Nakata, tracker of lost cats, who never recovered from a bizarre childhood affliction, finds his simple life suddenly turned upside down. Their parallel odysseys are enriched throughout by vivid accomplices and mesmerising dramas. Cats converse with people; fish tumble from the sky; a forest harbours soldiers apparently un-aged since WWII. There is a savage killing, but the identity of both victim and killer is a riddle.At once a classic tale of quest, Kafka on the Shore is also a bold exploration of mythic and contemporary taboos, of patricide, of mother-love, of sister-love. Above all it is a bewitching and wildly inventive novel from a master stylist."
9781408855676,J.K. Rowling,Fantasy,Young Adult,Fiction,"Harry Potter is lucky to reach the age of thirteen, since he has survived the murderous attacks of the feared Dark Lord on more than one occasion. His hopes for a quiet school term concentrating on Quidditch are dashed, though, when a maniacal mass-murderer escapes from Azkaban, pursued by the soul-sucking Dementors who guard the prison. It’s assumed that Hogwarts is the safest place for Harry to be. But is it his imagination that is making him feel eyes watching him in the dark, and should he be taking Professor Trelawney’s ghoulish predictions seriously?These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It’s time to PASS THE MAGIC ON …"
